Router Name,Country Code,Bandwidth (KB/s),Uptime (Days),IP Address,Hostname,ORPort,DirPort,Flag - Authority,Flag - Exit,Flag - Fast,Flag - Guard,Flag - Named,Flag - Stable,Flag - Running,Flag - Valid,Flag - V2Dir,Platform,Flag - Hibernating,Flag - Bad Exit
Unnamed,ES,1,4,87.222.110.20,20.110.222.87.dynamic.jazztel.es,9001,None,0,0,0,0,0,0,1,1,0,Tor 0.2.2.35 (git-b04388f9e7546a9f) on Windows 7 Service Pack 1 [workstation],0,0
Unnamed,FR,6,1,89.93.182.56,89-93-182-56.hfc.dyn.abo.bbox.fr,443,None,0,1,1,0,0,0,1,1,0,Tor 0.2.1.30 on Windows XP Service Pack 3 [workstation] {terminal services- single user},0,0
Unnamed,SE,11001,9,93.182.132.100,exit1.ipredator.se,9001,9030,0,1,1,1,0,1,1,1,1,Tor 0.2.2.35 (git-4f42b0a93422f70e) on Linux x86_64,0,0
Unnamed,FI,0,0,84.248.186.54,dsl-jklbrasgw2-febaf800-54.dhcp.inet.fi,443,None,0,0,1,0,0,0,1,1,0,Tor 0.2.2.34 (git-c4eae752f0d157ce) on Windows Server 2003 Service Pack 2 [domain controller],0,0
Unnamed,CA,56,2,156.34.243.143,mctnnbsa51W-156034243143.dhcp-dynamic.FibreOp.nb.bellaliant.net,8080,9030,0,0,1,0,0,0,1,1,1,Tor 0.2.2.34 (git-c4eae752f0d157ce) on Windows 7 Service Pack 1 [workstation],0,0
Unnamed,CZ,0,19,62.24.76.75,ip-62-24-76-75.net.upcbroadband.cz,443,None,0,0,0,0,0,1,1,1,0,Tor 0.2.2.35 (git-4f42b0a93422f70e) on Linux x86_64,0,0
Unnamed,FR,2,14,88.174.196.244,moustix.dyndns.org,9001,None,0,1,0,0,0,1,1,1,0,Tor 0.2.2.35 (git-73ff13ab3cc9570d) on Linux i686,0,0
Unnamed,FR,5,5,86.216.149.212,ANice-251-1-86-212.w86-216.abo.wanadoo.fr,9001,None,0,0,1,0,0,0,1,1,0,Tor 0.2.2.35 (git-4f42b0a93422f70e) on Linux i686,0,0
Unnamed,ES,3,6,188.84.124.162,static-162-124-84-188.ipcom.comunitel.net,9001,None,0,0,1,0,0,0,1,1,0,Tor 0.2.2.35 (git-b04388f9e7546a9f) on Windows XP Service Pack 2 [workstation],0,0
Unnamed,RU,0,0,89.178.74.232,89-178-74-232.broadband.corbina.ru,443,9030,0,1,1,0,0,0,1,1,1,Tor 0.2.2.35 (git-b04388f9e7546a9f) on Windows XP Service Pack 3 [workstation],0,0
Unnamed,US,6,3,66.108.241.230,cpe-66-108-241-230.nyc.res.rr.com,23001,23030,0,0,1,0,0,0,1,1,1,Tor 0.2.2.35 (git-b04388f9e7546a9f) on Linux x86_64,0,0
Unnamed,FR,17,0,89.92.189.50,89-92-189-50.hfc.dyn.abo.bbox.fr,443,None,0,0,1,0,0,0,1,1,0,Tor 0.2.2.34 (git-c4eae752f0d157ce) on Windows XP Service Pack 3 [workstation],0,0
Unnamed,BG,11,1,78.90.29.95,78.90.29.95,443,9030,0,0,1,0,0,0,1,1,1,Tor 0.2.2.35 (git-b04388f9e7546a9f) on Windows 7 Service Pack 1 [workstation],0,0
Unnamed,SE,0,0,83.255.193.143,c83-255-193-143.bredband.comhem.se,443,None,0,0,1,0,0,0,1,1,0,Tor 0.2.2.35 (git-b04388f9e7546a9f) on Windows 7 Service Pack 1 [workstation],0,0
Unnamed,US,8,57,50.0.164.108,50-0-164-108.dsl.dynamic.sonic.net,9001,9030,0,0,1,0,0,1,1,1,1,Tor 0.2.2.34 (git-c4eae752f0d157ce) on Darwin Power Macintosh,0,0
Unnamed,US,2,1,70.171.34.207,ip70-171-34-207.ga.at.cox.net,443,9030,0,0,1,0,0,0,1,1,1,Tor 0.2.2.35 (git-b04388f9e7546a9f) on Windows 7  [workstation],0,0
Unnamed,DE,2,0,86.103.166.243,243-166-103-86.dynamic.dsl.tng.de,443,None,0,0,1,0,0,0,1,1,0,Tor 0.2.2.35 (git-b04388f9e7546a9f) on Windows 7 Service Pack 1 [workstation],0,0
Unnamed,RU,0,1,91.204.18.225,pool18-225.uraluni.com,443,9030,0,0,1,0,0,0,1,1,1,Tor 0.2.2.34 (git-c4eae752f0d157ce) on Windows 7 Service Pack 1 [workstation],0,0
Unnamed,CA,4,4,184.161.7.231,modemcable231.7-161-184.mc.videotron.ca,443,9030,0,0,1,0,0,0,1,1,1,Tor 0.2.2.35 (git-b04388f9e7546a9f) on Windows Server 2003 Service Pack 2 [server],0,0
